Band Max_SR Dynamic_Range
1 4722.73 15136.48
2 4530.20 15120.57
3 4403.88 15105.90
4 3077.71 15119.70
5 1147.56 15064.18
6 803.86 15110.79
7 644.71 15064.89
8 472.66 15100.79
9 360.11 15089.17
10 306.61 15104.29
11 252.82 15088.78
12 218.10 15101.10
13 201.43 15103.78
14 184.76 15106.46
15 172.14 15094.20
16 157.64 15109.13
17 157.15 15097.70
18 158.13 15075.30
19 150.21 15102.64
20 133.81 15110.71
21 128.00 15108.46
22 120.24 15124.09
23 118.35 15110.00
28 123.56 15094.80
29 225.82 15059.54
30 821.75 15110.88
31 720.44 15090.30
32 494.43 15097.72
33 342.48 15077.61
34 224.78 15088.03
35 155.94 15036.62
36 115.91 15038.89
37 92.03 15048.13
38 69.57 15058.13
39 58.65 15007.08
40 52.06 15041.32
41 46.75 15020.36
42 42.94 14994.46
43 40.75 15006.30
44 37.86 15010.62
45 35.33 14968.80
46 34.55 14994.90
47 35.47 14974.40
48 34.53 14975.60
49 34.27 14926.80
50 33.85 14960.07
51 32.68 14938.36
52 31.82 14946.32
53 31.38 14922.24
54 30.74 14928.94
55 30.90 14904.42
56 30.62 14911.25
57 30.96 14859.79
58 30.68 14863.76
59 30.15 14816.89
60 30.82 14882.28
61 31.06 14861.63
62 30.24 14867.73
63 31.26 14849.88
64 32.14 14858.62
65 33.26 14814.24
66 35.29 14855.56
67 38.34 14842.31
68 46.25 14851.65
69 50.47 14838.12
70 67.18 14788.83
71 104.58 14804.88
72 120.34 14786.63
73 89.76 14809.49
74 72.27 14854.38
75 62.04 14801.05
76 56.54 14852.20
77 50.58 14853.71
78 45.04 14842.52
79 40.59 14860.34
80 36.50 14877.86
81 33.86 14872.75
82 31.73 14875.12
83 31.17 14856.05
84 31.20 14856.19
85 31.69 14860.58
86 31.26 14880.72
87 30.57 14901.75
88 29.45 14886.72
89 28.80 14909.12
90 28.70 14866.77
91 29.02 14884.24
92 28.83 14909.07
93 28.95 14930.64
94 28.21 14922.61
95 28.61 14912.15
96 28.93 14934.79
97 28.32 14949.32
98 27.07 14930.84
99 26.36 14912.50
100 27.02 14903.87
101 26.28 14931.70
102 26.76 14937.17
103 26.48 14918.53
104 27.34 14926.01
105 26.78 14906.28
106 26.57 14913.12
107 26.35 14919.97
108 26.13 14926.81
109 25.92 14933.65
110 25.70 14940.50
111 25.49 14947.34
112 25.27 14954.19
113 25.05 14961.03
114 24.84 14967.88
115 24.62 14974.72
116 24.40 14981.56
117 24.19 14988.41
118 23.97 14995.25
119 23.75 15002.10
120 23.54 15008.94
121 23.32 15015.79
122 23.11 15022.63
123 22.89 15029.47
124 22.67 15036.32
125 22.46 15043.16
126 22.24 15050.01
127 22.02 15056.85
128 21.81 15063.70
129 21.59 15070.54
130 21.38 15077.38
131 21.16 15084.23
132 20.94 15091.07
133 20.73 15097.92
134 20.51 15104.76
135 20.29 15111.61
136 20.08 15118.45
137 19.86 15125.29
138 19.64 15132.14
139 19.43 15138.98
140 19.21 15145.83
141 19.00 15152.67
142 19.07 15180.20
143 19.60 15132.26
144 18.62 15101.67
145 19.56 15019.33
146 19.46 15017.53
147 19.64 14960.22
148 18.92 14927.13
149 19.01 14851.40
150 19.06 14821.84
151 18.80 14753.51
152 18.54 14675.17
153 18.29 14590.76
154 18.60 14546.68
155 19.00 14468.17
156 19.17 14434.40
157 19.80 14321.75
158 20.30 14248.83
159 20.67 14153.27
160 20.94 14077.62
161 20.92 13967.56
162 20.93 13901.95
163 21.12 13835.84
164 21.26 13752.48
165 21.11 13664.97
166 21.04 13573.37
167 20.88 13488.54
168 20.03 13412.09
169 19.98 13361.90
170 19.42 13329.13
171 19.19 13278.45
172 18.85 13159.26
173 18.69 13154.03
174 18.31 13068.24
175 18.07 13031.52
176 17.74 12971.42
177 17.32 12910.30
178 17.04 12817.58
179 17.17 12780.37
180 16.78 12720.22
181 16.74 12668.01
182 16.40 12613.56
183 16.60 12533.97
184 16.71 12509.86
185 16.70 12442.67
186 16.63 12412.82
187 17.12 12315.59
188 16.93 12308.98
189 17.20 12251.24
190 17.22 12231.96
191 17.44 12198.09
192 17.26 12155.29
193 17.70 12126.80
194 17.70 12088.23
195 17.77 12072.48
196 17.55 12025.26
197 17.90 12009.06
198 17.77 11928.70
199 18.15 11845.99
200 18.17 11920.51
201 18.52 11911.53
202 18.57 11879.59
203 18.83 11870.62
204 18.83 11841.52
205 19.18 11812.84
206 19.16 11806.44
207 19.50 11801.26
208 19.53 11744.04
209 19.72 11767.50
210 19.71 11713.38
211 20.06 11745.00
212 20.11 11684.30
213 20.41 11706.40
214 20.31 11680.10
215 20.71 11682.02
216 20.58 11651.65
217 20.97 11654.33
218 21.03 11625.12
219 21.48 11623.86
220 21.53 11612.07
221 21.98 11616.66
222 22.03 11599.49
223 22.23 11604.59
224 22.26 11568.53
225 22.66 11551.78
226 22.59 11556.16
227 22.97 11582.71
228 23.18 11580.67
229 23.73 11586.04
230 23.79 11544.81
231 24.43 11586.38
232 24.45 11572.72
233 25.14 11564.38
234 25.26 11579.47
235 25.86 11592.04
236 26.02 11564.75
237 26.63 11582.70
238 26.50 11604.76
239 26.61 11598.13
240 26.48 11629.76
241 27.08 11647.12
242 27.14 11649.91
243 27.54 11669.86
244 27.49 11675.70
245 28.05 11697.04
246 28.64 11708.54
247 29.31 11681.96
248 29.89 11726.86
249 31.18 11746.32
250 32.30 11753.39
251 33.70 11775.67
252 34.75 11780.06
253 36.65 11779.59
254 43.83 11780.20
255 51.68 11831.02
256 52.33 11810.95
