Band,Max_SR,Dynamic_Range,Reflectance_Per_Pixel_Width
1,4722.73,15136.48,0.17686583483044174
2,4530.2,15120.57,0.16983411594066514
3,4403.88,15105.9,0.1652587994191615
4,3077.71,15119.7,0.11538789315473884
5,1147.56,15064.18,0.04318228582302367
6,803.86,15110.79,0.03015566922230666
7,644.71,15064.89,0.024259070904013576
8,472.66,15100.79,0.017742912253852328
9,360.11,15089.17,0.013528372480997815
10,306.61,15104.29,0.011506989636050674
11,252.82,15088.78,0.009498018754655037
12,218.1,15101.1,0.008186962559940022
13,201.43,15103.78,0.007559868197045427
14,184.76,15106.46,0.006932996336695116
15,172.14,15094.2,0.006464685781738342
16,157.64,15109.13,0.00591429101704797
17,157.15,15097.7,0.005900370950020089
18,158.13,15075.3,0.005945988018593439
19,150.21,15102.64,0.005637956205634015
20,133.81,15110.71,0.005019719182018486
21,128.0,15108.46,0.004802479202061251
22,120.24,15124.09,0.004506666664843017
23,118.35,15110.0,0.004439964729429176
28,123.56,15094.8,0.004640088444237906
29,225.82,15059.54,0.008500146658178795
30,821.75,15110.88,0.030826603627372915
31,720.44,15090.3,0.02706298307868537
32,494.43,15097.72,0.018563897831589977
33,342.48,15077.61,0.01287592479613278
34,224.78,15088.03,0.008445023261962815
35,155.94,15036.62,0.0058787234122178065
36,115.91,15038.89,0.004368987933885992
37,92.03,15048.13,0.003466750683402913
38,69.57,15058.13,0.0026189468417789383
39,58.65,15007.08,0.0022153764818117687
40,52.06,15041.32,0.001961977104987178
41,46.75,15020.36,0.0017643185312572712
42,42.94,14994.46,0.0016233304395668181
43,40.75,15006.3,0.0015393228311301197
44,37.86,15010.62,0.0014297420853468554
45,35.33,14968.8,0.0013379268638175784
46,34.55,14994.9,0.0013061113399205585
47,35.47,14974.4,0.0013427262543156638
48,34.53,14975.6,0.0013070375633250236
49,34.27,14926.8,0.0013014368896180674
50,33.85,14960.07,0.0012826281570484123
51,32.68,14938.36,0.0012400946925371036
52,31.82,14946.32,0.0012068175612788
53,31.38,14922.24,0.0011920504632221614
54,30.74,14928.94,0.0011672143353571244
55,30.9,14904.42,0.0011752198583267824
56,30.62,14911.25,0.0011640371929797328
57,30.96,14859.79,0.001181038356112471
58,30.68,14863.76,0.0011700445369645849
59,30.15,14816.89,0.0011534691456285304
60,30.82,14882.28,0.0011739210369825473
61,31.06,14861.63,0.0011847063842929293
62,30.24,14867.73,0.0011529562911468281
63,31.26,14849.88,0.0011932783240298857
64,32.14,14858.62,0.0012261486339111903
65,33.26,14814.24,0.0012726781585083516
66,35.29,14855.56,0.0013465992021723483
67,38.34,14842.31,0.0014642874245733056
68,46.25,14851.65,0.00176527655533503
69,50.47,14838.12,0.0019281026340293337
70,67.18,14788.83,0.00257502769915348
71,104.58,14804.88,0.004004234177068394
72,120.34,14786.63,0.004613351265792706
73,89.76,14809.49,0.003435725540094797
74,72.27,14854.38,0.002757904650925323
75,62.04,14801.05,0.0023760467732640875
76,56.54,14852.2,0.0021579468187316927
77,50.58,14853.71,0.001930276869757684
78,45.04,14842.52,0.001720150560386357
79,40.59,14860.34,0.0015483389087754015
80,36.5,14877.86,0.0013906829141636793
81,33.86,14872.75,0.0012905397866727752
82,31.73,14875.12,0.0012091643000588926
83,31.17,14856.05,0.001189348617502257
84,31.2,14856.19,0.00119048210379049
85,31.69,14860.58,0.0012088215714193473
86,31.26,14880.72,0.0011908052781347217
87,30.57,14901.75,0.0011628772862051534
88,29.45,14886.72,0.001121403743175956
89,28.8,14909.12,0.001095005245659316
90,28.7,14866.77,0.0010943115834805698
91,29.02,14884.24,0.0011052142253991043
92,28.83,14909.07,0.0010961495522276747
93,28.95,14930.64,0.0010991219124229375
94,28.21,14922.61,0.001071603243511004
95,28.61,14912.15,0.001087560226428846
96,28.93,14934.79,0.0010980573809778278
97,28.32,14949.32,0.001073859671523174
98,27.07,14930.84,0.001027731662244717
99,26.36,14912.5,0.0010020068060706175
100,27.02,14903.87,0.001027689722051958
101,26.28,14931.7,0.0009976812891331764
102,26.76,14937.17,0.0010155317539011241
103,26.48,14918.53,0.0010061614436137766
104,27.34,14926.01,0.0010383182900260317
105,26.78,14906.28,0.0010183967861910426
106,26.57,14913.12,0.0010099474201773974
107,26.35,14919.97,0.0010011251964116422
108,26.13,14926.81,0.0009923117345645629
109,25.92,14933.65,0.0009838859319287513
110,25.7,14940.5,0.0009750877797434929
111,25.49,14947.34,0.0009666775759425951
112,25.27,14954.19,0.0009578953606915285
113,25.05,14961.03,0.0009491218218137056
114,24.84,14967.88,0.0009407343908784438
115,24.62,14974.72,0.0009319767114477931
116,24.4,14981.56,0.0009232270288515583
117,24.19,14988.41,0.0009148629208230554
118,23.97,14995.25,0.0009061290326605654
119,23.75,15002.1,0.0008974025105094089
120,23.54,15008.94,0.0008890622274221456
121,23.32,15015.79,0.0008803514469471933
122,23.11,15022.63,0.0008720265278641179
123,22.89,15029.47,0.000863332020636602
124,22.67,15036.32,0.0008546448552642563
125,22.46,15043.16,0.0008463429861039289
126,22.24,15050.01,0.0008376714554175736
127,22.02,15056.85,0.0008290083654057053
128,21.81,15063.7,0.0008207289066690804
129,21.59,15070.54,0.0008120813758034473
130,21.38,15077.38,0.0008038176581098985
131,21.16,15084.23,0.0007951851110691682
132,20.94,15091.07,0.0007865609220454703
133,20.73,15097.92,0.0007783194876237832
134,20.51,15104.76,0.0007697107524048531
135,20.29,15111.61,0.0007611093067121626
136,20.08,15118.45,0.0007528910989642932
137,19.86,15125.29,0.0007443055479297637
138,19.64,15132.14,0.0007357272723459098
139,19.43,15138.98,0.0007275316772786918
140,19.21,15145.83,0.000718968741732769
141,19.0,15152.67,0.0007107881160436122
142,19.07,15180.2,0.0007121130126142288
143,19.6,15132.26,0.0007342230236374023
144,18.62,15101.67,0.0006989247551485334
145,19.56,15019.33,0.0007382339489430086
146,19.46,15017.53,0.0007345477790392566
147,19.64,14960.22,0.0007441821100863781
148,18.92,14927.13,0.0007184896876862685
149,19.01,14851.4,0.0007255885883588647
150,19.06,14821.84,0.0007289479143793373
151,18.8,14753.51,0.00072233426390635
152,18.54,14675.17,0.0007161472212250839
153,18.29,14590.76,0.0007105776015744714
154,18.6,14546.68,0.000724811009071444
155,19.0,14468.17,0.0007444160361905176
156,19.17,14434.4,0.0007528337819590222
157,19.8,14321.75,0.0007836909363808824
158,20.3,14248.83,0.0008075930170566189
159,20.67,14153.27,0.00082786478076453
160,20.94,14077.62,0.0008431855621797388
161,20.92,13967.56,0.0008490179198233747
162,20.93,13901.95,0.0008534326001050539
163,21.12,13835.84,0.0008652948221903234
164,21.26,13752.48,0.000876310388829191
165,21.11,13664.97,0.0008756998452123555
166,21.04,13573.37,0.000878686127474277
167,20.88,13488.54,0.0008774881744739653
168,20.03,13412.09,0.0008465648113772965
169,19.98,13361.9,0.0008476235001694317
170,19.42,13329.13,0.0008258917808488844
171,19.19,13278.45,0.0008192252213137728
172,18.85,13159.26,0.0008119992142412547
173,18.69,13154.03,0.0008054270211364811
174,18.31,13068.24,0.0007942312387584933
175,18.07,13031.52,0.00078602941727892
176,17.74,12971.42,0.0007752500736791636
177,17.32,12910.3,0.0007604790872549552
178,17.04,12817.58,0.0007535971995621505
179,17.17,12780.37,0.0007615573084232663
180,16.78,12720.22,0.0007477786409185196
181,16.74,12668.01,0.0007490706455469685
182,16.4,12613.56,0.0007370244457978523
183,16.6,12533.97,0.000750749686251327
184,16.71,12509.86,0.0007571810261688471
185,16.7,12442.67,0.0007608142009075492
186,16.63,12412.82,0.0007594470749958817
187,17.12,12315.59,0.0007879964487078623
188,16.93,12308.98,0.0007796696238127578
189,17.2,12251.24,0.0007958369907307585
190,17.22,12231.96,0.0007980182384478739
191,17.44,12198.09,0.0008104577311738967
192,17.26,12155.29,0.0008049171650576805
193,17.7,12126.8,0.0008273757228151086
194,17.7,12088.23,0.0008300156363201445
195,17.77,12072.48,0.0008343853215901137
196,17.55,12025.26,0.0008272911299298369
197,17.9,12009.06,0.0008449280702969129
198,17.77,11928.7,0.0008444424042175772
199,18.15,11845.99,0.0008685223322353662
200,18.17,11920.51,0.0008640439092019876
201,18.52,11911.53,0.0008813515156206766
202,18.57,11879.59,0.0008861070132026908
203,18.83,11870.62,0.0008991924248566472
204,18.83,11841.52,0.0009014021495848349
205,19.18,11812.84,0.0009203859987210178
206,19.16,11806.44,0.0009199246634452916
207,19.5,11801.26,0.0009366599586353089
208,19.53,11744.04,0.0009426716445032
209,19.72,11767.5,0.0009499449226713122
210,19.71,11713.38,0.0009538500653707462
211,20.06,11745.0,0.0009681744774365398
212,20.11,11684.3,0.0009756298821156216
213,20.41,11706.4,0.0009883149556030835
214,20.31,11680.1,0.00098568712665552
215,20.71,11682.02,0.0010049347767715096
216,20.58,11651.65,0.0010012295577236426
217,20.97,11654.33,0.0010199686923503602
218,21.03,11625.12,0.0010254572273880398
219,21.48,11623.86,0.0010475134998404845
220,21.53,11612.07,0.0010510178860760578
221,21.98,11616.66,0.0010725613223912705
222,22.03,11599.49,0.0010765924368641355
223,22.23,11604.59,0.0010858888751715278
224,22.26,11568.53,0.0010907436794816278
225,22.66,11551.78,0.0011119537362453895
226,22.59,11556.16,0.00110809860191697
227,22.97,11582.71,0.0011241558749874097
228,23.18,11580.67,0.001134633149035702
229,23.73,11586.04,0.0011610166204560526
230,23.79,11544.81,0.0011681090115993526
231,24.43,11586.38,0.0011952298235366173
232,24.45,11572.72,0.0011976202760001756
233,25.14,11564.38,0.0012323062230063366
234,25.26,11579.47,0.001236574784949343
235,25.86,11592.04,0.0012645743591649203
236,26.02,11564.75,0.0012754010363882134
237,26.63,11582.7,0.001303278049481522
238,26.5,11604.76,0.0012944504564540752
239,26.61,11598.13,0.0013005666832571344
240,26.48,11629.76,0.001290692987765477
241,27.08,11647.12,0.0013179709327912983
242,27.14,11649.91,0.001320574768703438
243,27.54,11669.86,0.001337747081503723
244,27.49,11675.7,0.0013346504417247477
245,28.05,11697.04,0.0013593541354473676
246,28.64,11708.54,0.0013865833850341504
247,29.31,11681.96,0.0014222496180521472
248,29.89,11726.86,0.0014448404670809288
249,31.18,11746.32,0.001504700291484199
250,32.3,11753.39,0.0015578121883100921
251,33.7,11775.67,0.00162225826904805
252,34.75,11780.06,0.001672180014993164
253,36.65,11779.59,0.001763678929712615
254,43.83,11780.2,0.0021090871664360467
255,51.68,11831.02,0.0024761448052272018
256,52.33,11810.95,0.0025115488285859544
