Band Number	Band Width (nm)	Center Wavelength (nm)	Starting Wavelength (nm)	Ending Wavelength (nm)
1	19.8	712.3	702.40	722.20
2	19.9	729.2	719.25	739.15
3	20.0	746.0	736.00	756.00
4	20.1	762.9	752.85	772.95
5	20.2	779.7	769.60	789.80
6	20.3	796.6	786.45	806.75
7	20.4	813.4	803.20	823.60
8	20.4	830.3	820.10	840.50
9	20.5	847.2	836.95	857.45
10	20.5	864.0	853.75	874.25
11	20.6	880.9	870.60	891.20
12	20.6	897.7	887.40	908.00
13	20.6	914.6	904.30	924.90
14	20.7	931.4	921.05	941.75
15	20.7	948.3	937.95	958.65
16	20.8	965.1	954.70	975.50
17	20.8	982.0	971.60	992.40
18	20.9	998.8	988.35	1009.25
19	20.9	1015.7	1005.25	1026.15
20	20.9	1032.5	1022.05	1042.95
21	21.0	1049.4	1038.90	1059.90
22	21.0	1066.2	1055.70	1076.70
23	21.1	1083.1	1072.55	1093.65
24	21.1	1099.9	1089.35	1110.45
25	21.1	1116.8	1106.25	1127.35
26	21.2	1133.6	1123.00	1144.20
27	21.2	1150.5	1139.90	1161.10
28	21.2	1167.3	1156.70	1177.90
29	21.3	1184.2	1173.55	1194.85
30	21.3	1201.1	1190.45	1211.75
31	21.3	1217.9	1207.25	1228.55
32	21.4	1234.8	1224.10	1245.50
33	21.4	1251.6	1240.90	1262.30
34	21.4	1268.5	1257.80	1279.20
35	21.4	1285.3	1274.60	1296.00
36	21.5	1302.2	1291.45	1312.95
37	21.5	1319.0	1308.25	1329.75
38	21.5	1335.9	1325.15	1346.65
39	21.5	1352.7	1341.95	1363.45
40	21.6	1369.6	1358.80	1380.40
41	21.6	1386.4	1375.60	1397.20
42	21.6	1403.3	1392.50	1414.10
43	21.6	1420.1	1409.30	1430.90
44	21.7	1437.0	1426.15	1447.85
45	21.7	1453.8	1442.95	1464.65
46	21.7	1470.7	1459.85	1481.55
47	21.7	1487.5	1476.65	1498.35
48	21.7	1504.4	1493.55	1515.25
49	21.8	1521.2	1510.30	1532.10
50	21.8	1538.1	1527.20	1549.00
51	21.8	1555.0	1544.10	1565.90
52	21.8	1571.8	1560.90	1582.70
53	21.8	1588.7	1577.80	1599.60
54	21.8	1605.5	1594.60	1616.40
55	21.9	1622.4	1611.45	1633.35
56	21.9	1639.2	1628.25	1650.15
57	21.9	1656.1	1645.15	1667.05
58	21.9	1672.9	1661.95	1683.85
59	21.9	1689.8	1678.85	1700.75
60	21.9	1706.6	1695.65	1717.55
61	21.9	1723.5	1712.55	1734.45
62	21.9	1740.3	1729.35	1751.25
63	22.0	1757.2	1746.20	1768.20
64	22.0	1774.0	1763.00	1785.00
65	22.0	1790.9	1779.90	1801.90
66	22.0	1807.7	1796.70	1818.70
67	22.0	1824.6	1813.60	1835.60
68	22.0	1841.4	1830.40	1852.40
69	22.0	1858.3	1847.30	1869.30
70	22.0	1875.1	1864.10	1886.10
71	22.0	1892.0	1881.00	1903.00
72	22.0	1908.9	1897.90	1919.90
73	22.0	1925.7	1914.70	1936.70
74	22.0	1942.6	1931.60	1953.60
75	22.0	1959.4	1948.40	1970.40
76	22.0	1976.3	1965.30	1987.30
77	22.0	1993.1	1982.10	2004.10
78	22.0	2010.0	1999.00	2021.00
79	22.0	2026.8	2015.80	2037.80
80	22.0	2043.7	2032.70	2054.70
81	22.1	2060.5	2049.45	2071.55
82	22.1	2077.4	2066.35	2088.45
83	22.1	2094.2	2083.15	2105.25
84	22.1	2111.1	2100.05	2122.15
85	22.1	2127.9	2116.85	2138.95
86	22.1	2144.8	2133.75	2155.85
87	22.1	2161.6	2150.55	2172.65
88	22.1	2178.5	2167.45	2189.55
89	22.1	2195.3	2184.25	2206.35
90	22.1	2212.2	2201.15	2223.25
91	22.1	2229.0	2217.95	2240.05
92	22.0	2245.9	2234.90	2256.90
93	22.0	2262.8	2251.80	2273.80
94	22.0	2279.6	2268.60	2290.60
95	22.0	2296.5	2285.50	2307.50
96	22.0	2313.3	2302.30	2324.30
97	22.0	2330.2	2319.20	2341.20
98	22.0	2347.0	2336.00	2358.00
99	22.0	2363.9	2352.90	2374.90
100	22.0	2380.7	2369.70	2391.70
101	22.0	2397.6	2386.60	2408.60
102	22.0	2414.4	2403.40	2425.40
103	22.0	2431.3	2420.30	2442.30
104	22.0	2448.1	2437.10	2459.10
105	22.0	2465.0	2454.00	2476.00
106	22.0	2481.8	2470.80	2492.80
107	22.0	2498.7	2487.70	2509.70
108	22.0	2515.5	2504.50	2526.50
109	22.0	2532.4	2521.40	2543.40
110	22.0	2549.2	2538.20	2560.20
111	22.0	2566.1	2555.10	2577.10
112	22.0	2582.9	2571.90	2593.90
113	22.0	2599.8	2588.80	2610.80
114	22.0	2616.7	2605.70	2627.70
115	21.9	2633.5	2622.55	2644.45
116	21.9	2650.4	2639.45	2661.35
117	21.9	2667.2	2656.25	2678.15
118	21.9	2684.1	2673.15	2695.05
119	21.9	2700.9	2689.95	2711.85
120	21.9	2717.8	2706.85	2728.75
121	21.9	2734.6	2723.65	2745.55
122	21.9	2751.5	2740.55	2762.45
123	21.9	2768.3	2757.35	2779.25
124	21.9	2785.2	2774.25	2796.15
125	21.9	2802.0	2791.05	2812.95
126	21.9	2818.9	2807.95	2829.85
127	21.9	2835.7	2824.75	2846.65
128	21.9	2852.6	2841.65	2863.55
129	21.8	2869.4	2858.50	2880.30
130	21.8	2886.3	2875.40	2897.20
131	21.8	2903.1	2892.20	2914.00
132	21.8	2920.0	2909.10	2930.90
133	21.8	2936.8	2925.90	2947.70
134	21.8	2953.7	2942.80	2964.60
135	21.8	2970.6	2959.70	2981.50
136	21.8	2987.4	2976.50	2998.30
137	21.8	3004.3	2993.40	3015.20
138	21.8	3021.1	3010.20	3032.00
139	21.8	3038.0	3027.10	3048.90
140	21.8	3054.8	3043.90	3065.70
141	21.8	3071.7	3060.80	3082.60
142	21.8	3088.5	3077.60	3099.40
143	21.8	3105.4	3094.50	3116.30
144	21.7	3122.2	3111.35	3133.05
145	21.7	3139.1	3128.25	3149.95
146	21.7	3155.9	3145.05	3166.75
147	21.7	3172.8	3161.95	3183.65
148	21.7	3189.6	3178.75	3200.45
149	21.7	3206.5	3195.65	3217.35
150	21.7	3223.3	3212.45	3234.15
151	21.7	3240.2	3229.35	3251.05
152	21.7	3257.0	3246.15	3267.85
153	21.7	3273.9	3263.05	3284.75
154	21.7	3290.7	3279.85	3301.55
155	21.7	3307.6	3296.75	3318.45
156	21.7	3324.5	3313.65	3335.35
157	21.7	3341.3	3330.45	3352.15
158	21.7	3358.2	3347.35	3369.05
159	21.7	3375.0	3364.15	3385.85
160	21.7	3391.9	3381.05	3402.75
161	21.7	3408.7	3397.85	3419.55
162	21.7	3425.6	3414.75	3436.45
163	21.7	3442.4	3431.55	3453.25
164	21.7	3459.3	3448.45	3470.15
165	21.7	3476.1	3465.25	3486.95
166	21.7	3493.0	3482.15	3503.85
