Longitude,Latitude,Pixel,Scan
137.556296,13.0946107,0,0
137.470532,13.093085,50,0
137.384799,13.0915408,100,0
137.299081,13.0899778,150,0
137.213365,13.0883957,200,0
137.129348,13.0868265,249,0
137.553793,13.2338044,0,50
137.467973,13.2322785,50,50
137.382183,13.2307338,100,50
137.296409,13.2291699,150,50
137.210636,13.2275866,200,50
137.126563,13.226016,249,50
137.551292,13.372983,0,100
137.465414,13.3714567,50,100
137.379568,13.3699113,100,100
137.293736,13.3683464,150,100
137.207906,13.3667618,200,100
137.123777,13.3651896,249,100
137.548795,13.5121626,0,150
137.462859,13.510636,50,150
137.376955,13.50909,100,150
137.291066,13.5075242,150,150
137.205177,13.5059384,200,150
137.120992,13.5043646,249,150
137.546291,13.6513442,0,200
137.460297,13.6498172,50,200
137.374334,13.6482704,100,200
137.288387,13.6467036,150,200
137.20244,13.6451164,200,200
137.118198,13.6435409,249,200
137.543789,13.7905293,0,250
137.457736,13.7890021,50,250
137.371714,13.7874548,100,250
137.285708,13.7858871,150,250
137.199702,13.7842988,200,250
137.115402,13.7827219,249,250
137.541288,13.9297074,0,300
137.455175,13.9281798,50,300
137.369094,13.9266317,100,300
137.283028,13.9250629,150,300
137.196962,13.9234732,200,300
137.112604,13.9218946,249,300
137.538783,14.0688753,0,350
137.45261,14.0673474,50,350
137.366468,14.0657988,100,350
137.280342,14.0642291,150,350
137.194216,14.0626381,200,350
137.109799,14.061058,249,350
137.536278,14.2080651,0,400
137.450044,14.2065367,50,400
137.363841,14.2049872,100,400
137.277654,14.2034164,150,400
137.191467,14.201824,200,400
137.10699,14.2002422,249,400
137.533769,14.3472359,0,450
137.447474,14.3457072,50,450
137.361209,14.3441571,100,450
137.274961,14.3425853,150,450
137.188712,14.3409916,200,450
137.104175,14.3394083,249,450
137.531258,14.4864111,0,500
137.4449,14.4848819,50,500
137.358574,14.483331,100,500
137.272263,14.4817581,150,500
137.185953,14.480163,200,500
137.101354,14.4785779,249,500
137.528749,14.6255832,0,550
137.442329,14.6240536,50,550
137.355939,14.622502,100,550
137.269566,14.6209281,150,550
137.183193,14.6193316,200,550
137.098533,14.6177449,249,550
137.52624,14.7647693,0,600
137.439756,14.7632393,50,600
137.353303,14.7616869,100,600
137.266867,14.7601119,150,600
137.18043,14.758514,200,600
137.095708,14.7569256,249,600
137.523722,14.9039311,0,650
137.437174,14.9024005,50,650
137.350657,14.9008473,100,650
137.264157,14.8992711,150,650
137.177656,14.8976717,200,650
137.092872,14.8960815,249,650
137.521203,15.0431052,0,700
137.434591,15.0415743,50,700
137.34801,15.0400203,100,700
137.261444,15.0384431,150,700
137.174879,15.0368423,200,700
137.090031,15.0352504,249,700
137.51869,15.1822812,0,750
137.432012,15.1807497,50,750
137.345365,15.1791949,100,750
137.258735,15.1776166,150,750
137.172105,15.1760143,200,750
137.087193,15.1744207,249,750
137.51617,15.3214522,0,800
137.429426,15.3199203,50,800
137.342714,15.3183648,100,800
137.256017,15.3167854,150,800
137.169321,15.3151819,200,800
137.084344,15.3135867,249,800
137.513657,15.4606237,0,850
137.426846,15.4590913,50,850
137.340067,15.4575348,100,850
137.253304,15.4559542,150,850
137.166541,15.4543491,200,850
137.0815,15.452752,249,850
137.511141,15.5997805,0,900
137.424263,15.5982475,50,900
137.337417,15.5966902,100,900
